"","Music Concept WT                                         ","หน้า   :        1"
"","สินค้าคงเหลือ แยกตามคลังสินค้า    ","ณ วันที่  24 พ.ค. 2569"
"","รหัสสินค้าจาก","001-01005-000     ","ถึง","VP-ADAPTOR-9V","วันที่ : 24/05/2569"
"","หมวดสินค้าจาก","                  ","ถึง","9999"
"","คลังสินค้าจาก","01                ","ถึง","06"
"","คลัง","","รหัสสินค้า","ชื่อสินค้า","","","","","","  จำนวน","","ราคาต่อหน่วย","","มูลค่าคงเหลือ","ยอดค้างรับ","ยอดค้างส่ง"
"","PL","","","","ล๊อตคงเหลือ","","  จำนวน","ราคาต่อหน่วย","มูลค่าในล๊อต"
"","01","คลังมิวสิกคอนเซพท์"
"","","","002-11117-50","VOX AMP MINI GO-50","","","","","",1,"ตู้",,"",0.00,"           7"
"","","","002-11118","VOX AMP. CLUBMAN 60","","","","","",1,"ตู้",,"",0.00,"           3"
"","","","002-11923","VOX HEADLESS BASS BLACK VSBA-HL4","","","","","",1,"ตัว",,"",0.00,"           1"
"","","","002-AP-BM","VOX AMPLUG BRIAN MAY AP-BM","","","","","",2,"เครื่อง",,"",0.00,"          18","           5"
"","","","002-AP2-BMS","VOX AMPLUG BRIAN MAY","","","","","",2,"ตัว",,"",0.00,"          12"
"","","","002-AP2-CAB","VOX AMPLUG V2 CABINET","","","","","",3,"ตู้",,"",0.00,"          17"
"","","","002-AP2-IO","VOX AMPLUG AP-I/O USB AUDIO INTERFACE","","","","","",3,"ตัว",,"",0.00,"          38"
"","","","002-AP3-AC","VOX AMPLUG 3 AC","","","","","",3,"ตัว",,"",0.00,"          76"
"","","","002-AP3-BA","VOX AMPLUG 3 BASS","","","","","",5,"ตัว",,"",0.00,"         176"
"","","","002-AP3-BQ","VOX AMPLUG 3 BOUTIQUE","","","","","",1,"ตัว",,"",0.00,"          46"
"","","","002-AP3-HG","VOX AMPLUG 3 HIGH GAIN","","","","","",4,"ตัว",,"",0.00,"          46"
"","","","002-AP3-MB","VOX AMPLUG 3 MODERN BASS","","","","","",2,"ตัว",,"",0.00,"          52"
"","","","002-AP3-UD","VOX AMPLUG 3 UK DRIVE","","","","","",2,"ตัว",,"",0.00,"          60"
"","","","002-AP3-US","VOX AMPLUG 3 US SILVER","","","","","",3,"ตัว",,"",0.00,"          58"
"","","","002-KORG-MASK","KORG LOGO CLOTH MASK","","","","","",4,"ตัว",,"",0.00,"           5"
"","","","002-VH-Q1","KORG HEADPHONE VH-Q1 BLACK","","","","","",1,"อัน",,"",0.00,"           1"
"","","","003-01012","ALESIS DM 5 PRO DUAL ZONE DRUM PAD LDP-4","","","","","",1,"ใบ",,"",0.00,"           1"
"","","","004-04032","ART COOL SWITCH A/B-Y SWITCH","","","","","",3,"เครื่อง",,"",0.00
"","","","006-01007","EMG GUITAR PICKUP SA SET","","","","","",2,"ชุด",,"",0.00
