"","คลังสินค้า เบ๊เงียบเส็ง                                  ","หน้า   :        1"
"","สินค้าคงเหลือ แยกตามคลังสินค้า    ","ณ วันที่  14 มิ.ย. 2569"
"","รหัสสินค้าจาก","001-01005-000     ","ถึง","VRS10304514  ","วันที่ : 14/06/2569"
"","หมวดสินค้าจาก","                  ","ถึง","9999"
"","คลังสินค้าจาก","01                ","ถึง","99"
"","คลัง","","รหัสสินค้า","ชื่อสินค้า","","","","","","  จำนวน","","ราคาต่อหน่วย","","มูลค่าคงเหลือ","ยอดค้างรับ","ยอดค้างส่ง"
"","PL","","","","ล๊อตคงเหลือ","","  จำนวน","ราคาต่อหน่วย","มูลค่าในล๊อต"
"","01","คลังสำนักงานใหญ่"
"","","","F011-0392-834","FD AMERICAN VINT II 72 TELE THINLINE MN AG NATURAL","","","","","",2,"ตัว",,"",0.00
"","","","F011-1060-848","FD LTD RAPHAEL SAADIQ TELE RW DARK METTALLIC RED","","","","","",4,"ตัว",,"",0.00
"","","","F011-3900-700","FD AM PRO II STRAT RW 3TSB","","","","","",1,"ตัว",,"",0.00
"","","","F011-3900-705","FD AM PRO II STRAT RW OWT","","","","","",2,"ตัว",,"",0.00
"","","","F011-3900-718","FD AM PRO II STRAT RW MYSTIC SURF GREEN","","","","","",3,"ตัว",,"",0.00
"","","","F011-3900-763","FD AM PRO II STRAT RW DARK ROASTED PINE","","","","","",4,"ตัว",,"",0.00
"","","","F011-3902-700","FD AM PRO II STRAT MN 3TSB","","","","","",4,"ตัว",,"",0.00
"","","","F011-3902-705","FD AM PRO II STRAT MN OWT","","","","","",3,"ตัว",,"",0.00
"","","","F011-3902-706","FD AM PRO II STRAT MN BLACK","","","","","",1,"ตัว",,"",0.00
"","","","F011-3902-763","FD AM PRO II STRAT MN ROASTED PINE","","","","","",1,"ตัว",,"",0.00
"","","","F011-3902-803","FD AM PRO II STRAT MN 2TS","","","","","",5,"ตัว",,"",0.00
"","","","F011-3942-700","FD AM PRO II TELE MN 3TS","","","","","",1,"ตัว",,"",0.00
"","","","F011-3942-706","FD AM PRO II TELE MN BLACK","","","","","",2,"ตัว",,"",0.00
"","","","F011-3942-719","FD AM PRO II TELE MN MIAMI BLUE","","","","","",2,"ตัว",,"",0.00
"","","","F011-3942-747","FD AM PRO II TELE MN SIENA SUNBURST","","","","","",1,"ตัว",,"",0.00
"","","","F011-4545-706","FENDER JIM ROOT STRAT EB BLACK","","","","","",5,"ตัว",,"",0.00
"","","","F011-4910-342","FENDER AM PERF STRAT RW HONEY BURST","","","","","",2,"ตัว",,"",0.00
"","","","F011-4910-380","FENDER AM PERF STRAT RW ARTIC WHITE","","","","","",2,"ตัว",,"",0.00
"","","","F011-4912-302","FENDER AM PERF STRAT MN SATIN LPB","","","","","",3,"ตัว",,"",0.00
"","","","F011-4942-300","FD AM PRO CLSC STRAT MN 3TS","","","","","",6,"ตัว",,"",0.00
